0005 枯れた竹 かれたたけ
2DDF ロココなクロゼット ろここなくろぜっと
2DE0 ロココな時計 ろここなとけい
2DE1 ロココなドレッサー ろここなどれっさー
2DE2 ロココなランプ ろここならんぷ
2DE3 ロココなテーブル ろここなてーぶる
2DE4 スカンジナビアなベッド すかんじなびあなべっど
2DE5 スカンジナビアなソファ すかんじなびあなそふぁ
2DE6 スカンジナビアなチェア すかんじなびあなちぇあ
2DE7 スカンジナビアなチェスト すかんじなびあなちぇすと
2DE8 スカンジナビアクロゼット すかんじなびあくろぜっと
2DE9 スカンジナビアなランプ すかんじなびあならんぷ
2DEA スカンジナビアなパネル すかんじなびあなぱねる
2DEB スカンジナビアなたな すかんじなびあなたな
2DEC スカンジナビアテーブルL すかんじなびあてーぶるL
2DED スカンジナビアテーブルM すかんじなびあてーぶるM
2DEE スカンジナビアなワゴン すかんじなびあなわごん
2DEF 近未来なオーディオ きんみらいなおーでぃお
2DF0 近未来なベッド きんみらいなべっど
2DF1 近未来なソファ きんみらいなそふぁ
2DF2 近未来なイス きんみらいないす
2DF3 近未来なタンス きんみらいなたんす
2DF4 近未来なクロゼット きんみらいなくろぜっと
2DF5 近未来な時計 きんみらいなとけい
2DF6 近未来なテーブル きんみらいなてーぶる
2DF7 近未来なテレビ きんみらいなてれび
2DF8 近未来なシェルフ きんみらいなしぇるふ
2DF9 近未来なランプ きんみらいならんぷ
2DFA トランプタワー とらんぷたわー
2DFB トランプベッド とらんぷべっど
2DFC トランプソファ とらんぷそふぁ
2DFD トランプチェア とらんぷちぇあ
2DFE トランプタンス とらんぷたんす
2DFF トランプクロゼット とらんぷくろぜっと
2E00 トランプウォールクロック とらんぷうぉーるくろっく
2E01 トランプランプ とらんぷらんぷ
2E02 トランプスクリーン とらんぷすくりーん
2E03 トランプシェルフ とらんぷしぇるふ
2E04 トランプテーブル とらんぷてーぶる
2E05 ストライプなタンス すとらいぷなたんす
2E06 ストライプなランプ すとらいぷならんぷ
2E07 ストライプなクロゼット すとらいぷなくろぜっと
2E08 ストライプなテレビ すとらいぷなてれび
2E09 ストライプなテーブル すとらいぷなてーぶる
2E0A ストライプなソファ すとらいぷなそふぁ
2E0B ストライプなシェルフ すとらいぷなしぇるふ
2E0C ストライプな時計 すとらいぷなとけい
2E0D ストライプなベッド すとらいぷなべっど
2E0E ストライプなせんめんだい すとらいぷなせんめんだい
2E0F ストライプなチェア すとらいぷなちぇあ
2E10 だらしないベッド だらしないべっど
2E11 だらしないソファ だらしないそふぁ
2E12 だらしない時計 だらしないとけい
2E13 だらしないイス だらしないいす
2E14 だらしないテーブル だらしないてーぶる
2E15 だらしないクロゼット だらしないくろぜっと
2E16 だらしないシンク だらしないしんく
2E17 だらしないランプ だらしないらんぷ
2E18 だらしないコンポ だらしないこんぽ
2E19 だらしないテレビ だらしないてれび
2E1A だらしないタンス だらしないたんす
2E1B かがりび かがりび
2E1C のぼりのはた のぼりのはた
2E1D ぐんばい ぐんばい
2E1E ハリボテのいけがき はりぼてのいけがき
2E1F ハリボテの草 はりぼてのくさ
2E20 ハリボテの山 はりぼてのやま
2E21 ハリボテの木 はりぼてのき
2E22 カカオ かかお
2E23 れいすいき れいすいき
2E24 壁かけのはっぱ かべかけのはっぱ
2E25 エジプトランプ えじぷとらんぷ
2E26 ブーメラン ぶーめらん
2E27 ネオンのかんばん ねおんのかんばん
2E28 バルセロスのおんどり ばるせろすのおんどり
2E29 ダーラヘスト だーらへすと
2E2A ドリームキャッチャー どりーむきゃっちゃー
2E2B ガイコツの置物 がいこつのおきもの
2E2C 郵便局のポスター ゆうびんきょくのぽすたー
2E2D シャムロックロック しゃむろっくろっく
2E2E 中華なランタン ちゅうかならんたん
2E2F フラダンス人形 ふらだんすにんぎょう
2E30 モアイ もあい
2E31 まじないのかめん まじないのかめん
2E32 マーライオン まーらいおん
2E33 ごじゅうのとう ごじゅうのとう
2E34 にんぎょぞう にんぎょぞう
2E35 しんじつのくち しんじつのくち
2E36 しょうべんこぞう しょうべんこぞう
2E37 マトリョーシカ まとりょーしか
2E38 サムゲタン さむげたん
2E39 エッフェルとう えっふぇるとう
2E3A かいぞくのはた かいぞくのはた
2E3B レトロなぼうえんきょう れとろなぼうえんきょう
2E3C かいぞくのけん かいぞくのけん
2E3D マシュマロのイス ましゅまろのいす
2E3E ダンボールテーブル だんぼーるてーぶる
2E3F ダンボールイス だんぼーるいす
2E40 ダンボールソファ だんぼーるそふぁ
2E41 ダンボールクロゼット だんぼーるくろぜっと
2E42 ダンボールベッド だんぼーるべっど
2E43 えとの置物.ね えとのおきもの.ね
2E44 えとの置物.うし えとのおきもの.うし
2E45 えとの置物.とら えとのおきもの.とら
2E46 えとの置物.う えとのおきもの.う
2E47 えとの置物.たつ えとのおきもの.たつ
2E48 えとの置物.み えとのおきもの.み
2E49 えとの置物.うま えとのおきもの.うま
2E4A えとの置物.ひつじ えとのおきもの.ひつじ
2E4B えとの置物.さる えとのおきもの.さる
2E4C えとの置物.とり えとのおきもの.とり
2E4D えとの置物.いぬ えとのおきもの.いぬ
2E4E えとの置物.い えとのおきもの.い
2E4F 壁かけモニター かべかけもにたー
2E50 つうしんそうち つうしんそうち
2E51 キャプテンのイス きゃぷてんのいす
2E52 クルーのイス くるーのいす
2E53 時計つきけいき とけいつきけいき
2E54 おおきいけいき おおきいけいき
2E55 小さいけいき ちいさいけいき
2E56 キャプテンのモニター きゃぷてんのもにたー
2E57 クルーのモニター くるーのもにたー
2E58 まるいレーダー まるいれーだー
2E59 チョコレートケーキ ちょこれーとけーき
2E5A しゅがとみるく しゅがとみるく
2E5B コーヒーカップ こーひーかっぷ
2E5C ケーキケース けーきけーす
2E5D コーヒーミル こーひーみる
2E5E バースデーテーブル ばーすでーてーぶる
2E5F バースデーキャンドル ばーすでーきゃんどる
2E60 バースデーボード ばーすでーぼーど
2E61 バースデーケーキ ばーすでーけーき
2E62 ゲレンデのリフト げれんでのりふと
2E63 ゆきだるマトリョーシカ ゆきだるまとりょーしか
2E64 テンビリオン てんびりおん
2E65 カーリングストーン かーりんぐすとーん
2E66 ペッパーミル ぺっぱーみる
2E67 スケッチブック すけっちぶっく
2E68 トイカメラ といかめら
2E69 キンデルダイクのふう車 きんでるだいくのふうしゃ
2E6A トゥクトゥク とぅくとぅく
2E6B せかいちず せかいちず
2E6C ボブスレー ぼぶすれー
2E6D きもん きもん
2E6E コッフェル こっふぇる
2E6F スキーいた すきーいた
2E70 シタール したーる
2E71 エアーズロック えあーずろっく
2E72 くんせいマシーン くんせいましーん
2E73 ガウディのリザード がうでぃのりざーど
2E74 ソンピョン そんぴょん
2E75 バグパイプ ばぐぱいぷ
2E76 ビッグベン びっぐべん
2E77 じんこうこうせつき じんこうこうせつき
2E78 12つぶのぶどう 12つぶのぶどう
2E79 シーグローブ しーぐろーぶ
2E7A くるみわり人形 くるみわりにんぎょう
2E7B バランスWiiボード ばらんすWiiぼーど
2E7C 壁かけソックス かべかけそっくす
2E7D ベルリーナー べるりーなー
2E7E スノーモービル すのーもーびる
2E7F ラブテスター らぶてすたー
2E80 じゆうのめがみ じゆうのめがみ
2E81 パッチワークなソファ ぱっちわーくなそふぁ
2E82 パッチワークなタンス ぱっちわーくなたんす
2E83 パッチワークなランプ ぱっちわーくならんぷ
2E84 パッチワークなテーブル ぱっちわーくなてーぶる
2E85 パッチワークなソファL ぱっちわーくなそふぁL
2E86 しょうぐんのイス しょうぐんのいす
2E87 しょうぎのこま しょうぎのこま
2E88 リバーシ りばーし
2E89 バルーンテレビ ばるーんてれび
2E8A バルーンソファ ばるーんそふぁ
2E8B バルーンクロック ばるーんくろっく
2E8C バルーンランプ ばるーんらんぷ
2E8D バルーンテーブル ばるーんてーぶる
2E8E バルーンベッド ばるーんべっど
2E8F バルーンチェア ばるーんちぇあ
2E90 バルーンチェスト ばるーんちぇすと
2E91 バルーンドッグランプ ばるーんどっぐらんぷ
2E92 バルーンクロゼット ばるーんくろぜっと
2E93 バルーンドレッサー ばるーんどれっさー
2E94 ユリのレコードプレーヤー ゆりのれこーどぷれーやー
2E95 バラのソファ ばらのそふぁ
2E96 ヒマワリのコンポ ひまわりのこんぽ
2E97 チューリップのチェスト ちゅーりっぷのちぇすと
2E98 スミレのスクリーン すみれのすくりーん
2E99 アジサイのベッド あじさいのべっど
2E9A ツツジのスツール つつじのすつーる
2E9B パンジーのテーブル ぱんじーのてーぶる
2E9C コスモスのせんぷうき こすもすのせんぷうき
2E9D ハイビスカスのクロック はいびすかすのくろっく
2E9E ウルトラハンド うるとらはんど
2E9F ウルトラコープ うるとらこーぷ
2EA0 ウルトラマシーン うるとらましーん
2EA1 キリンしんちょうけい きりんしんちょうけい
2EA2 レトロなラジオ れとろならじお
2EA3 0のランプ 0のらんぷ
2EA4 1のランプ 1のらんぷ
2EA5 2のランプ 2のらんぷ
2EA6 3のランプ 3のらんぷ
2EA7 4のランプ 4のらんぷ
2EA8 5のランプ 5のらんぷ
2EA9 6のランプ 6のらんぷ
2EAA 7のランプ 7のらんぷ
2EAB 8のランプ 8のらんぷ
2EAC 9のランプ 9のらんぷ
2EAD アリエスのもくば ありえすのもくば
2EAE タウラスのバスタブ たうらすのばすたぶ
2EAF ジェミニのクローゼット じぇみにのくろーぜっと
2EB0 キャンサーのテーブル きゃんさーのてーぶる
2EB1 レオの彫刻 れおのちょうこく
2EB2 ヴァルゴのハープ ヴぁるごのはーぷ
2EB3 リブラのてんびん りぶらのてんびん
2EB4 スコーピオのランプ すこーぴおのらんぷ
2EB5 サジタリアスのや さじたりあすのや
2EB6 カプリコーンの置物 かぷりこーんのおきもの
2EB7 アクエリアスのみずがめ あくえりあすのみずがめ
2EB8 ピスケスのランプ ぴすけすのらんぷ
